"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22455","test_vseinstrumenti_price[chromium]","tests","Mon Jul 28 14:16:05 GMT 2025","failed","Mon Jul 28 14:16:27 GMT 2025","","test_vi","",""
"","8508","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:11:32 GMT 2025","broken","Mon Jul 28 14:11:41 GMT 2025","","test_pars","",""
"Тест парсинга цен с сайта","26470","test_vseinstrumenti_prices[chromium]","tests","Mon Jul 28 14:14:48 GMT 2025","broken","Mon Jul 28 14:15:14 GMT 2025","","test_vi","",""
"","27794","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:13:20 GMT 2025","passed","Mon Jul 28 14:13:48 GMT 2025","","test_pars","",""
"","8590","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:12:04 GMT 2025","broken","Mon Jul 28 14:12:13 GMT 2025","","test_pars","",""
"","8395","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:10:57 GMT 2025","broken","Mon Jul 28 14:11:05 GMT 2025","","test_pars","",""
"","27961","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:12:25 GMT 2025","passed","Mon Jul 28 14:12:53 GMT 2025","","test_pars","",""
"","27420","Сбор цены с имитацией поведения пользователя","tests","Mon Jul 28 14:12:53 GMT 2025","passed","Mon Jul 28 14:13:20 GMT 2025","","test_pars","",""
